feature_id,facility_name_ar,facility_type,primary_candidate_image_id,manual_review_completed,visual_match_status,primary_suitability,reviewer_decision,shared_conflict_status,rights_status,institutional_approval_status,next_action
LY-HOT-000134,فندق الجغبوب,hotel,IMG-8084340B4BB7CB22,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000135,فندق الجلاء,hotel,IMG-94025569E10A3EC8,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000137,فندق الخان الطرابلسي,hotel,IMG-692D357EF64EECF5,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000138,فندق الرحاب,hotel,IMG-29F498B195A17DAE,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000143,فندق ابن الرومي,hotel,IMG-C04C7358AE4C64F2,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000145,فندق الحياة,hotel,IMG-4F1BF241FA1C1032,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000148,فندق العوينات,hotel,IMG-1E9790A7A8F159ED,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000150,فندق الفضيل,hotel,IMG-03C03752D4FFB0D9,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000151,فندق الفضيل رأس لانوف,hotel,IMG-7408B0FEE6E15B14,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000152,فندق الفلك,hotel,IMG-E3245A512704B018,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000154,فندق القلعة,hotel,IMG-4DE50FE5C77F11DC,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000155,فندق الكاظم,hotel,IMG-C1A63B7C18A696CC,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000157,فندق المبروك,hotel,IMG-65010E3F7285D3C4,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000158,فندق المتوسط الخمس,hostel,IMG-4F0A3CE02FA1B883,false,cannot_determine,cannot_determine,defer,unresolved,unknown,false,needs_shared_conflict_resolution
LY-HOT-000160,فندق المدينة,hotel,IMG-4ECEDB1678C21ED6,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000163,فندق المرج السياحي,hotel,IMG-4D69B0877B8F026F,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000164,فندق المسيرة,hotel,IMG-36DA0CCAB2BCB61C,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000166,فندق المغرب العربي,hotel,IMG-D345EAAFD727F3C0,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000169,فندق النخلة السياحي,hotel,IMG-87993A1E3CB548BA,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000171,فندق النوران,hotel,IMG-1DBC5EAF16A5E4BE,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000181,فندق اليمامة,hotel,IMG-ED94159E9BC6C717,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000187,فندق أفريقيا,hotel,IMG-3B56150C8DAA5F16,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000190,فندق أمال ليبيا,hotel,IMG-2F048837E230F91F,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000193,فندق باب البحر,hotel,IMG-A3170ECA96244672,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000196,فندق بلازما,hotel,IMG-5FE1ABA6DADBA795,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000201,فندق توباكتس,hotel,IMG-00D26D8EDC613DDE,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000209,فندق ديار الهناء,hotel,IMG-23AE35FD4B853F4A,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000221,فندق سفيروس الخمس,hotel,IMG-7D1036F871E7B856,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000223,فندق صحارى ليبيا,hotel,IMG-5255F49255B9CDBC,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000268,فندق الفصول الاربعة 3,hotel,IMG-674C0626690A6B84,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
