feature_id,layer_id,name_ar,candidate_images,manually_reviewed_images,verified_correct_images,public_rights_images,approved_primary_images,approved_gallery_images,rights_unknown_images,deferred_images,rejected_images,coverage_status
WH-LY-003-C0001,world-heritage,مسرح شحات الاثري,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0002,world-heritage,متحف المنحوتات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0003,world-heritage,الحمامات الاغريقية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0004,world-heritage,المجلس المحلي شحات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0005,world-heritage,آثار قورينا,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0006,world-heritage,المسجد القديم,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0007,world-heritage,منتزة شحات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0008,world-heritage,كهف يقع جنوب شرق مدينة شحات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0009,world-heritage,مسرح3,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0010,world-heritage,سيزاريوم/ساحة بروكولوس المحيطة بالأروقة…,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0011,world-heritage,غابة شحات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0012,world-heritage,هوا القاطر,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0013,world-heritage,مسرح شحات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0014,world-heritage,مقابر منحوتة في الصخر,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0015,world-heritage,هوا احجري,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0016,world-heritage,نبع أبولو,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0017,world-heritage,شلال شحات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0018,world-heritage,مدافن محفورة في الجبل,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0019,world-heritage,معبد الكابيتوليوم,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0020,world-heritage,اعمدة اثار شحات الخالدة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0021,world-heritage,معبد زيوس في قورينا,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0022,world-heritage,السوق اليوناني القديم اغورا,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0023,world-heritage,Byzantine basilica,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0024,world-heritage,شلال الدبوسية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0025,world-heritage,شلال رأس الهلال بافلو,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0026,world-heritage,شلال بالفو,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0027,world-heritage,Cyrene cemetery,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-003-C0028,world-heritage,بحيرة براك نوطا,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0001,world-heritage,البركت غات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0002,world-heritage,مستشفى البركت,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0003,world-heritage,مسجد الصحابة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0004,world-heritage,منتزه تهالة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0005,world-heritage,منطقة تهالة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0006,world-heritage,المدينة القديمة غات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0007,world-heritage,مستشفى غات العام,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0008,world-heritage,معبر تخرخوري,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0009,world-heritage,تهالة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0010,world-heritage,منتجع إين أزان,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0011,world-heritage,قرية إيسين,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0012,world-heritage,مسجد العتيق,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0013,world-heritage,مطار غات الدولي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0014,world-heritage,المجلس البلدي غات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0015,world-heritage,النصب التذكاري لمعركة ايسين,0,0,0,0,0,0,0,0,0,no_verified_images
