image_id,source_relative_path,master_image_id,layer_id,feature_id,feature_name_ar,feature_name_en,linkage_basis,layer_assignment_status,feature_linkage_status,primary_image,gallery_image,institutional_display_authorization,rights_status,derivative_status,runtime_status,notes
IMG-E50D8711CF7CC8B5,assets/images/hotels/hotels-LY-HOTELS-00010-01.webp,,hotels,LY-HOT-000010,فندق الثريا,Al-Thuraya Tourist Hotel,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-67530F7F3739330D,assets/images/hotels/hotels-LY-HOTELS-00010-02.webp,,hotels,LY-HOT-000010,فندق الثريا,Al-Thuraya Tourist Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-430ECAF9CEFEB5BC,assets/images/hotels/hotels-LY-HOTELS-00010-03.webp,,hotels,LY-HOT-000010,فندق الثريا,Al-Thuraya Tourist Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-9461E23A86CF8F8C,assets/images/hotels/hotels-LY-HOTELS-00010-04.webp,,hotels,LY-HOT-000010,فندق الثريا,Al-Thuraya Tourist Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-0BE938EAF980235C,assets/images/hotels/hotels-LY-HOTELS-00010-05.webp,,hotels,LY-HOT-000010,فندق الثريا,Al-Thuraya Tourist Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-83A268FE4866504F,assets/images/hotels/hotels-LY-HOTELS-00011-04.webp,,hotels,LY-HOT-000011,منتجع الينابيع السياحي,Al-YanaBeaa Tourist Resort,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-51CBD2AEFA55B9B0,assets/images/hotels/hotels-LY-HOTELS-00011-05.webp,,hotels,LY-HOT-000011,منتجع الينابيع السياحي,Al-YanaBeaa Tourist Resort,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-DB72D7A699DFCF73,assets/images/hotels/hotels-LY-HOTELS-00012-01.webp,,hotels,LY-HOT-000012,فندق برقة,(Barqa Tourist Hotel,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-EEB657C1F6E8BD1C,assets/images/hotels/hotels-LY-HOTELS-00018-01.webp,,hotels,LY-HOT-000018,فندق الطاووس,Peacock Hotel And Resort,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-928DF692A054F9A7,assets/images/hotels/hotels-LY-HOTELS-00018-02.webp,,hotels,LY-HOT-000018,فندق الطاووس,Peacock Hotel And Resort,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-FFC1B1E00374A724,assets/images/hotels/hotels-LY-HOTELS-00018-03.webp,,hotels,LY-HOT-000018,فندق الطاووس,Peacock Hotel And Resort,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-558714F39A6D4A4B,assets/images/hotels/hotels-LY-HOTELS-00018-04.webp,,hotels,LY-HOT-000018,فندق الطاووس,Peacock Hotel And Resort,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
