feature_id,image_id,gallery_order,gallery_role,master_image_id,visual_match_status,rights_status,publication_permission,manual_review_completed,notes
LY-HOT-000051,IMG-9A077AB897E06613,1,candidate,IMG-50A720DCFED91911,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000051,IMG-91CBAD6672D1FD52,1,candidate,IMG-6A466A5C93A05EED,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000053,IMG-76FF508F0B7A8565,1,candidate,IMG-56E98A5645B39F5D,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000053,IMG-54E98AFB5EF2553D,1,candidate,IMG-98EFB1EC1D9EF416,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000053,IMG-FB6F833B0859FE59,1,candidate,IMG-7CAAC759CC737415,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000054,IMG-5A8F81B9322E3F57,1,candidate,IMG-0B35E801F141C640,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000054,IMG-A0650F815C0D7FB8,1,candidate,IMG-7ACDACB9FF3E557D,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000054,IMG-7EF1C95F346808BF,1,candidate,IMG-2AE6F6D3C9BC0BF9,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000054,IMG-787AFA859825802E,1,candidate,IMG-9C9459440AAC4CCA,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000055,IMG-C75C7E18E8905149,1,candidate,IMG-1289F69675F9BC19,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000056,IMG-67A5A64E322D0F37,1,candidate,IMG-D4C607AB8D516F6C,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000056,IMG-22DF9370E20C75A5,1,candidate,IMG-C48CB24A721B2935,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000056,IMG-509E51730B1B3229,1,candidate,IMG-A8EE98A588BA9D5F,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000056,IMG-92BABB16F704E727,1,candidate,IMG-18F84A863A2E4B54,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000056,IMG-3796AAAE3DCAE3D5,1,candidate,IMG-261BC8B1CCCCB5E7,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000056,IMG-CA3B07ED76DF5499,1,candidate,IMG-E3336843EB879751,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000057,IMG-B7DE3703E4372DC6,1,candidate,IMG-B12576573F81B667,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000057,IMG-2796AE395C19E4E6,1,candidate,IMG-35F1A55A9C8154B0,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000057,IMG-03DECC2279EE6EEB,1,candidate,IMG-9DE715B34E385D2E,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000057,IMG-4DB6C4C1628610CE,1,candidate,IMG-4D092ADC2C638D11,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000057,IMG-034DF0F3051EAC20,1,candidate,IMG-DE98501F9EAB6547,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000058,IMG-63F705E27DA71CF5,1,candidate,IMG-663C7115DAD00DDA,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000058,IMG-A03C14D169C38CD7,1,candidate,IMG-22CEA54D3A637E23,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000058,IMG-BA4579788FA5B783,1,candidate,IMG-8888DECE5AFEA5F5,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000058,IMG-14D5E5C9975ACDF6,1,candidate,IMG-A31DB5C9968F4C89,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000059,IMG-12604B3B51DF48AE,1,candidate,IMG-94AC661C198FA9B4,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000059,IMG-D0018E7F483C8003,1,candidate,IMG-5269628C74ADF318,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000059,IMG-2E5099729EF0CCDC,1,candidate,IMG-D7BAD4FD82094B14,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000059,IMG-7ADCDC722B0F3863,1,candidate,IMG-A5B81BF4BC8A2AF6,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000060,IMG-529535B1FF6858C1,1,candidate,IMG-1826FC3DA9B6FF0D,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000060,IMG-1A91F5CD618A2607,1,candidate,IMG-90C08E273C288EFF,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000060,IMG-53504366C57AD739,1,candidate,IMG-C6DBFD8926F28DC5,not_individually_verified,unknown,pending_institutional_approval,false,
