path,filename,extension,file_size,width,height,sha256,expected_site,publication_status,used_currently,duplicate_group
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-013.jpeg,official-013.jpeg,.jpeg,160976,1000,750,3d2566cf4235712803710c30fbce5f8ba15ab7aa1b6c71a894a6a537add37897,,review_required,no,DUP-0093
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-014.jpeg,official-014.jpeg,.jpeg,113057,1000,563,d7df4a3e27fa596997963046d6c9e2737ddc6d36e4a7497b3278e622408f8899,,review_required,no,DUP-0094
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-015.jpeg,official-015.jpeg,.jpeg,121115,1000,563,23ce781ae35fecbc3eaf12335d2f22c64e6dc487ac620e1b1965d7c5ae66b7d6,,review_required,no,DUP-0095
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-016.jpeg,official-016.jpeg,.jpeg,82749,1000,563,5f35d972082346803d7d7c87d76f64c27967d7faac5005b780feb5746665a580,,review_required,no,DUP-0096
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-017.jpeg,official-017.jpeg,.jpeg,78479,1080,811,342eb5deb4b9e970c9d74f0e81d12f472dd459c40056b44002a1826fb2dd422b,,review_required,no,DUP-0097
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-018.jpeg,official-018.jpeg,.jpeg,90214,607,1080,89026cb82167fec95fd02d00aeecb065efb9bcf63a6faa995d30849013ee9e8c,,review_required,no,DUP-0098
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-019.jpeg,official-019.jpeg,.jpeg,90495,1000,563,25fe3997b35164f597b16ef755cf002845fd98dd9b03a3e018c3dc6a5a075fdc,,review_required,no,DUP-0099
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-020.jpeg,official-020.jpeg,.jpeg,105890,607,1080,ce9de34b394856c23fc2d5bc400570e0ef7a8dbe8d6a21c2563b209f36218e07,,review_required,no,DUP-0100
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-021.jpeg,official-021.jpeg,.jpeg,85562,563,1000,18d4e02bb5fb34acf8a338c02d205ce46b9efb851727596a8ced02cb51fd9370,,review_required,no,DUP-0101
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-022.jpeg,official-022.jpeg,.jpeg,92085,607,1080,3d16b05bdbc1b66a07836c4eaea5747eedafde1ecd2f2a6c670b608bf9e33cc7,,review_required,no,DUP-0102
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-023.jpeg,official-023.jpeg,.jpeg,106958,1000,563,1fe0ecff517687d81277858fa2b59fa01e97cca1aec54f873414202d9fb9fb4c,,review_required,no,DUP-0103
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-024.jpeg,official-024.jpeg,.jpeg,104949,563,1000,14d05c672b535953631c8f0b8b99058edbce9713566bd0393135aa2ae485e811,,review_required,no,DUP-0104
