feature_id,current_layer_id,name_ar,name_en,current_facility_type,proposed_facility_type,classification_basis,confidence,manual_confirmation_required,notes
LY-HOT-000264,hotels,فندق قصر كاباو,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000265,hotels,فندق الأفريقي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000266,hotels,فندق قرطاج السياحى1,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000267,hotels,فندق السارة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000268,hotels,فندق الفصول الاربعة 3,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000269,hotels,فندق أوال,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000270,hotels,فندق المتوسط,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000271,hotels,فندق قرطاج السياحى2,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000272,hotels,فندق التوفيق 2,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000273,hotels,فندق النعيم,Naeem Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000274,hotels,نزل كيلو بتراء,,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000275,hotels,فندق الفصول الاربعة 2,FourSeasons Hotel,resort,hotel,runtime layer hotels,high,false,
LY-HOT-000276,hotels,فندق السفير,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000277,hotels,فندق نور الثريا,Noor Althuria Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000278,hotels,فندق الشاطئ الذهبى,Golden Beach Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000279,hotels,فندق الصافي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000280,hotels,فندق بوابة أفريقيا,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000281,hotels,فندق الفصول الابعة 1,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000282,hotels,فندق سفارى,Safari Hotel Libya),hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000283,hotels,فندق زهرة الخليج,Alkhaleej Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000284,hotels,فندق السلاسل الذهبية,Golden Chains Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000285,hotels,فندق النورس,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000286,hotels,فندق التوفيق 1,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000287,hotels,فندق اليسر,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000288,hotels,فندق الخيام العربية,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000289,hotels,فندق الرشيد,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000290,hotels,فندق أسامة,,hotel,hotel,runtime layer hotels,high,false,
