source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
217,اشتيوي كافي خلة الفرجان,اشتيويكافيخلهالفرجان,13.2277252,32.769968,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
218,مقهى العبسي,مقهيالعبسي,13.2977433,32.7680385,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,duplicate_name,unique,new_feature
219,مقهى بايو كافي في مقسم بن معتوق,مقهيبايوكافيفيمقسمبنمعتوق,13.2585615,32.802936,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
220,مقهي وحلويات الكرم (الكشك),مقهيوحلوياتالكرمالكشك,13.3434852,32.7941467,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
221,كافي كوب,كافيكوب,13.2693273,32.8513703,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
222,الدبشي كافيه - Dabshi coffee,الدبشيكافيهdabshicoffee,13.2398891,32.8490201,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
223,محمود للسندوتشات 777,محمودللسندوتشات777,13.3514074,32.835698,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
224,كافي جزيل - JAZEEL CAFE,كافيجزيلjazeelcafe,13.2320418,32.8705703,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
225,شيش زياد فرع زناتة,شيشزيادفرعزناته,13.2296141,32.8690209,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
226,شرمب نيشن _ليبيا,شرمبنيشن_ليبيا,13.224265,32.8728472,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
227,كباب زناتة,كبابزناته,13.2225901,32.875682,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
228,شركة نون للعصائر,شركهنونللعصائر,13.2397392,32.8720564,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
229,معمل جاميلة البحباح,معملجاميلهالبحباح,13.2216592,32.8786255,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
230,مطبخ العيلة - cucina famiglia,مطبخالعيلهcucinafamiglia,13.2223262,32.8804466,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
231,Vanilla Patisserie حلويات ڤانيليا,vanillapatisserieحلوياتڤانيليا,13.2164133,32.8807807,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
232,Espressolab,espressolab,13.2112078,32.8833556,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
233,Gustoso,gustoso,13.2119236,32.8818621,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
234,Bubble Tea ببل تي,bubbleteaببلتي,13.2113147,32.8842521,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
235,Eleanor Pastries,eleanorpastries,13.2098844,32.8797784,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
236,Candy house كاندي هاوس,candyhouseكانديهاوس,13.2095118,32.8793496,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
237,Pinkberry Libya,pinkberrylibya,13.2069294,32.8837952,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
238,Buonissimo gelato Italiano,buonissimogelatoitaliano,13.2068586,32.8830681,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
