id,name_ar,name_en,facility_type_code,municipality_ar,longitude,latitude,match_status,data_quality_status,data_completeness_percent,source_image_status
LY-ACC-RES-NAT-00026,قرية شمس البحر,العنوان/المدينة:,tourist_village,,14.058758,32.721782,exact_match,low,43,no_image
LY-ACC-RES-KHO-00017,قرية لؤلؤة غنيمة العائلية,استراحة لؤلؤة - غنيمة الخمس,family_resort,الخمس,14.058367,32.720385,exact_match,medium,50,temporary_google_url
LY-ACC-RES-NAT-00027,شاليهات ركن النيروز,استراحة النيروز 2,accommodation_resort_other,,13.647632,32.788222,exact_match,low,43,no_image
LY-ACC-RES-NAT-00028,قرية رأس الحمراء العائلية,Ras Al hamra resorts,family_resort,,13.935119,32.774035,exact_match,low,43,temporary_google_url
LY-ACC-RES-KHO-00018,قرية شاطئ النخيل الذهبي,Palm Beach,tourist_village,الخمس,13.935483,32.773377,exact_match,medium,50,temporary_google_url
LY-ACC-RES-ZLI-00001,قرية أصيل السياحية,قرية أصيل السياحية Aseel Tourist Village,tourist_village,زليتن,14.614519,32.489638,exact_match,medium,50,temporary_google_url
LY-ACC-RES-ZLI-00002,قرية الهُزم السياحية,منتجع الهُزم السياحي Alhozm resorts,tourist_village,زليتن,14.620055,32.489371,exact_match,medium,50,temporary_google_url
LY-ACC-RES-MIS-00001,منتجع الأمان السياحي,منتجع الأمان السياحي - Aman Tourist Resort,tourist_resort,مصراتة,15.001973,32.413207,exact_match,medium,50,temporary_google_url
LY-ACC-RES-MIS-00002,منتجع مصراتة,منتجع مصراتة - Misurata Resort,tourist_resort,مصراتة,15.114877,32.405137,exact_match,medium,50,temporary_google_url
LY-ACC-RES-MIS-00003,منتجع فينيسيا/مصراتة,قرية فينيسيا السياحية مصراتة,tourist_resort,مصراتة,15.030501,32.410642,exact_match,medium,50,temporary_google_url
LY-ACC-RES-MIS-00004,قرية زريق السياحية,قرية زريق للإستثمار السياحي / مصراتة,tourist_village,مصراتة,14.929789,32.431147,exact_match,medium,50,temporary_google_url
LY-ACC-RES-NAT-00029,حي قصور الضيافة_سرت,العنوان/المدينة:,tourist_village,,16.615275,31.207768,exact_match,low,43,temporary_google_url
LY-ACC-RES-BEN-00001,شاليهات ريماس,العنوان/المدينة:,accommodation_resort_other,بنغازي,19.949189,31.903168,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00002,قرية شاطيء النخيل,العنوان/المدينة:,tourist_village,بنغازي,19.954158,31.942865,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00003,منتجع مارينا بنغازي السياحي,العنوان/المدينة:,tourist_village,بنغازي,19.959256,31.982998,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00004,منتجع الصفوة السياحي,العنوان/المدينة:,tourist_village,بنغازي,19.964499,31.992255,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00005,منتجع ماربيلا السياحي,العنوان/المدينة:,tourist_village,بنغازي,19.971313,31.993245,exact_match,medium,50,no_image
